FID,lng,lat,Date
2,-74.34046585,40.79568579,20189
9,-74.33919169,40.7942383,20218
7,-74.33956259,40.79470841,20218
1,-74.3401764,40.79577959,20218
5,-74.33993027,40.79508419,20218
0,-74.33990386,40.79586275,20218
8,-74.33936989,40.79448034,20218
4,-74.34018391,40.79532545,20218
6,-74.33976898,40.79492706,20218
3,-74.34035558,40.79538304,202011
10,-74.33897187,40.79391228,20218
11,-74.33886384,40.79375085,20218
13,-74.33848838,40.7931813,20218
12,-74.33864895,40.79342415,20218
14,-74.3383271,40.79294137,20218
17,-74.33775947,40.79208929,20218
16,-74.33797293,40.79241119,20218
19,-74.33736118,40.79148888,20218
15,-74.33813645,40.79265649,20218
18,-74.33756283,40.79178593,20188
20,-74.33719452,40.79117474,202011
21,-74.3369551,40.79088287,20218
22,-74.33679354,40.7906407,20218
23,-74.33657695,40.79031722,20218
24,-74.33636169,40.78999588,20218
25,-74.33614939,40.78967503,20218
26,-74.33599061,40.78943467,20218
27,-74.33574894,40.7890709,20218
28,-74.33558757,40.78882627,20218
29,-74.335369,40.78850129,20218
30,-74.33517844,40.7882201,20218
31,-74.33496793,40.7879031,20218
33,-74.33459246,40.78733667,20218
32,-74.33475365,40.7875797,20218
35,-74.33415451,40.78669142,20218
36,-74.3339797,40.78645335,20218
37,-74.33374404,40.78613407,20218
38,-74.33349942,40.78580177,20218
40,-74.33331423,40.78525515,20218
39,-74.33355044,40.785662,202011
41,-74.33301672,40.78510353,20218
42,-74.332987,40.78481711,20218
43,-74.33280745,40.784582,20218
44,-74.33248899,40.78432437,20218
45,-74.33232197,40.78408693,20218
46,-74.33215245,40.78384876,20218
47,-74.33193047,40.78352298,20159
48,-74.33170724,40.78322697,20218
49,-74.33154184,40.78300068,20159
50,-74.33135727,40.78275914,20159
51,-74.33116618,40.78251918,20218
52,-74.33097875,40.78217081,20218
53,-74.330806,40.78190917,20218
54,-74.33065751,40.78170499,20218
55,-74.33047331,40.78146711,20218
56,-74.3302857,40.78122883,20218
57,-74.3301578,40.78106958,20218
58,-74.32990189,40.78075643,20218
59,-74.32977193,40.78059871,20218
60,-74.32957054,40.78035278,20218
61,-74.3293107,40.78003908,20218
62,-74.32909328,40.77992203,20218
65,-74.32848982,40.77918931,20159
69,-74.32763395,40.77815054,20218
68,-74.32787481,40.77844336,20218
70,-74.32736381,40.77782069,20218
71,-74.32722856,40.77765596,20218
72,-74.32709224,40.77748973,20218
73,-74.32688467,40.77723561,20218
75,-74.32676285,40.77685083,202010
74,-74.32674692,40.77706684,20218
76,-74.32640392,40.77665099,20218
77,-74.32619948,40.77640447,20218
78,-74.32606477,40.7762411,20218
79,-74.32586785,40.77600128,20218
81,-74.32555627,40.77545641,20218
80,-74.32573815,40.77584433,20218
82,-74.32531853,40.77534135,20218
83,-74.32506039,40.77503336,20218
84,-74.32486705,40.7748015,20218
85,-74.32467317,40.77456051,20218
87,-74.32428165,40.7742064,20227
86,-74.32469573,40.7743734,20218
88,-74.32406155,40.77419131,20218
89,-74.32386516,40.77413313,20218
90,-74.32354302,40.77405907,20218
91,-74.32314532,40.7739826,20218
92,-74.32291331,40.77393961,20218
94,-74.32204192,40.77378011,20218
93,-74.32251042,40.77386581,20218
95,-74.32171619,40.77368805,20198
96,-74.32148883,40.77367791,20218
97,-74.32121824,40.77362481,20218
98,-74.32086386,40.77355562,20218
99,-74.32049346,40.77348534,20218
100,-74.32013398,40.77341967,20218
102,-74.31916824,40.77325285,20218
101,-74.31963209,40.77333045,20218
103,-74.31874493,40.77318126,20218
105,-74.31809292,40.77307511,20218
104,-74.31849331,40.77314232,20218
106,-74.31769029,40.77301227,20218
107,-74.31733161,40.77292045,20198
108,-74.3169331,40.77288865,20218
109,-74.31664638,40.77284008,20218
110,-74.31635466,40.77279082,20218
111,-74.31605926,40.77273992,20218
112,-74.31576754,40.77268712,20218
113,-74.31554814,40.77264594,20218
114,-74.31525695,40.77259109,20218
115,-74.31481958,40.77250402,20218
118,-74.31363091,40.77227127,20218
116,-74.31452176,40.77244509,20218
117,-74.31407661,40.77235822,20218
119,-74.3131845,40.7721837,20218
120,-74.31288355,40.77212553,20218
121,-74.3124306,40.77203523,20218
122,-74.31212803,40.77197578,20218
123,-74.31182135,40.7719245,20218
124,-74.31151145,40.77188304,20218
125,-74.31114013,40.77184896,202010
126,-74.31088877,40.77181714,20218
127,-74.31057761,40.77178772,20218
128,-74.31026958,40.77175971,20218
129,-74.31011794,40.77174559,20218
130,-74.30989084,40.77172211,20218
131,-74.30936501,40.77166701,20218
132,-74.30906379,40.77163617,20218
133,-74.30854378,40.77158377,20218
134,-74.30817505,40.77154664,20218
135,-74.30788242,40.771517,20218
136,-74.30762577,40.77149657,20198
137,-74.30736214,40.7714696,20218
139,-74.30642318,40.77143561,20218
138,-74.30685502,40.7714487,20218
140,-74.30600101,40.7714207,20218
141,-74.30558886,40.77140454,20218
146,-74.30362391,40.77131084,20218
145,-74.30400732,40.77134587,20218
144,-74.30426648,40.77136107,20218
142,-74.30518522,40.77139069,20218
143,-74.30465625,40.77137526,20218
147,-74.30336967,40.7712749,20218
149,-74.30261376,40.77116154,20218
150,-74.30225344,40.77110852,20218
148,-74.30298921,40.77121818,20218
151,-74.30177334,40.77103145,20218
155,-74.30034672,40.77065052,20218
153,-74.30109172,40.77088511,20218
154,-74.30067375,40.77076433,20218
156,-74.30002659,40.77052538,20218
157,-74.2997369,40.77038743,20218
152,-74.3014131,40.77102204,20218
159,-74.29927112,40.77004478,202011
158,-74.29948964,40.77026608,20218
160,-74.29903487,40.76997708,20219
161,-74.29863031,40.7698531,20218
162,-74.29849648,40.76963889,20219
163,-74.29809022,40.76944482,20219
165,-74.29740904,40.76923477,20219
164,-74.29788763,40.76934838,20219
166,-74.29716778,40.76900502,20198
171,-74.29581427,40.76836949,20219
169,-74.29628677,40.76872894,20219
170,-74.29595133,40.76857955,20219
172,-74.29559234,40.76826343,20219
167,-74.29687727,40.76886958,20219
168,-74.29657388,40.76872669,20219
173,-74.29538321,40.76816396,20219
174,-74.29502153,40.76799433,20219
176,-74.29435824,40.76768409,20219
179,-74.29318215,40.76727875,20219
177,-74.29395162,40.76749228,20219
180,-74.29282889,40.7671133,20219
178,-74.2936458,40.76734701,20219
175,-74.29461142,40.76780227,20219
181,-74.29242083,40.76692959,20219
184,-74.29170749,40.76671058,20219
182,-74.29231823,40.76688364,20219
183,-74.29207186,40.76678299,20159
185,-74.29135583,40.76668151,20219
186,-74.29112315,40.76669041,20219
187,-74.29077749,40.76674432,20219
189,-74.29004391,40.76691814,20219
188,-74.29044785,40.76684685,20219
190,-74.28992224,40.76711379,20219
191,-74.28952277,40.76734548,20219
192,-74.28922572,40.76751869,20219
193,-74.28887692,40.76758664,20219
194,-74.28860135,40.7678557,20219
195,-74.28827789,40.76790115,20219
196,-74.28803473,40.76815585,20219
199,-74.28713632,40.76862519,20219
198,-74.28740061,40.76835631,20219
197,-74.28773249,40.76831204,20219
200,-74.28680945,40.76880759,202011
201,-74.28652072,40.76893571,20219
202,-74.28645429,40.76913134,20218
203,-74.28629672,40.76931851,20218
207,-74.28541226,40.77037888,202110
205,-74.28580628,40.76976396,202110
204,-74.28597066,40.76952357,202110
206,-74.28571944,40.77012646,20218
208,-74.28527878,40.77058086,202110
209,-74.28505173,40.77090582,202110
210,-74.28487285,40.7711533,202110
211,-74.28469191,40.77140811,202110
212,-74.28448778,40.77170933,202110
213,-74.28438402,40.77198068,20218
215,-74.28398615,40.77253801,20218
214,-74.28421203,40.77222218,20218
216,-74.2837095,40.77278394,202110
217,-74.28348084,40.77310262,202110
218,-74.28335183,40.77341948,20218
219,-74.28306274,40.77368887,202110
220,-74.28294482,40.7739811,20218
221,-74.28276684,40.77422016,20218
222,-74.28261804,40.7742889,202110
223,-74.28240979,40.77454359,202110
224,-74.28229976,40.77481617,20198
225,-74.28201854,40.77500775,202110
226,-74.28183071,40.77533541,20217
227,-74.28159148,40.77550251,202110
228,-74.28141591,40.77581951,20217
229,-74.28115537,40.77601388,202110
230,-74.28100371,40.77619158,202110
231,-74.28080996,40.77652988,20217
232,-74.28062033,40.77675516,20217
233,-74.28042077,40.77698653,20217
235,-74.2799586,40.77752638,20217
234,-74.28024869,40.77718793,20217
236,-74.27967667,40.77773503,202110
238,-74.27932015,40.77815435,201710
239,-74.27910653,40.77852162,20217
240,-74.27888162,40.77878474,20217
241,-74.2786218,40.77897384,20219
242,-74.27845026,40.77928752,20217
243,-74.27824415,40.77952467,20217
244,-74.27803375,40.7796628,20219
245,-74.2778092,40.78002815,20217
246,-74.27760722,40.78015885,20219
247,-74.27741167,40.78050598,20217
248,-74.27715489,40.78068071,20219
